Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
5400,"653,704",1941.188848,113.5798166,0.103158516,8.373711272,0.003647527,192.5947654,1.288507463,119.5321461,0.761229529,37.81972252,0.300456986,52.48640173,0.083994013,0.784985626,0.007969543,55.71219388,1.232668384,150.5639214,1.922313226,98.0366532,3.085239131,86.82282546,0.617563735,0,0
5500,"643,532",1959.456509,115.4339983,0.104006171,8.669603271,0.003734638,193.1864759,1.292338577,120.3209602,0.766220772,38.26716621,0.303714945,53.64449852,0.085533455,0.813781329,0.008241245,56.59448664,1.249718185,151.6962366,1.92907243,98.9344967,3.102039256,87.87147796,0.622777805,0,0
5600,"633,654",1977.47189,117.2873041,0.104849971,8.975439499,0.003824955,193.7565181,1.296100628,121.1016207,0.771034204,38.69635438,0.306828245,54.88086695,0.087166957,0.830414266,0.00837574,57.42459609,1.265540225,152.7693885,1.935502462,99.78686179,3.117777766,88.86549327,0.627794866,0,0
5700,"624,031",1995.160166,119.029619,0.105650279,9.277590914,0.003909655,194.3026267,1.299735311,121.8806654,0.775722535,39.10160018,0.30972288,56.07023517,0.088730569,0.848150239,0.008523144,58.25045494,1.280830517,153.7898513,1.941645049,100.6239089,3.133560356,89.82747954,0.632858395,0,0
5800,"614,859",2012.673688,120.8498498,0.106474348,9.538427004,0.003984842,194.8345987,1.303308642,122.6526697,0.780364256,39.49642151,0.312566808,57.24323165,0.090268011,0.868599726,0.008704367,59.05945439,1.296437692,154.7467534,1.947607275,101.421462,3.148727992,90.79321383,0.637800222,0,0
5900,"605,890",2030.02127,122.7570315,0.107335775,9.874864771,0.004074779,195.3653271,1.306936124,123.3888328,0.784824495,39.92672616,0.315591535,58.40942153,0.091783705,0.884875229,0.008839911,59.89441632,1.31257457,155.718605,1.953599349,102.2289056,3.164250359,91.76355534,0.642656649,0,0
6000,"596,892",2047.0168,124.4994519,0.108083028,10.1941949,0.00416033,195.8798627,1.310378697,124.1251546,0.789220001,40.30452084,0.318296004,59.54212778,0.093255896,0.910289955,0.009084526,60.65005311,1.326871206,156.6483241,1.959477822,103.0449483,3.179254121,92.71104957,0.647388071,0,0
6100,"588,380",2063.857793,126.3232839,0.108871969,10.48232597,0.004235938,196.3878094,1.313737132,124.8164892,0.793413554,40.67623969,0.320947999,60.63128284,0.094671089,0.928477054,0.009236198,61.43490984,1.342028787,157.528997,1.96486494,103.8229903,3.193365417,93.63658772,0.652019713,0,0
6200,"580,039",2080.38634,128.0190415,0.1096001,10.80078305,0.004314468,196.8982949,1.317089995,125.517289,0.797804002,41.08224991,0.323844364,61.7448961,0.096140001,0.955593123,0.0094662,62.24431525,1.357666536,158.43766,1.970307275,104.5829676,3.207697467,94.51931262,0.656431504,0,0
6300,"571,917",2096.719484,129.728768,0.110327039,11.10205354,0.004388496,197.3836728,1.320334255,126.2009523,0.801889903,41.44985401,0.326435135,62.8686711,0.09754847,0.970645712,0.009590867,62.98245833,1.371467989,159.3138843,1.975663417,105.3422517,3.22183076,95.41701829,0.660944363,0,0
