Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
4800,69928,2014.663086,77.42949645,0.069948637,6.863481494,0.003320663,156.5327091,1.032211702,76.29679024,0.469889968,23.02130624,0.191300521,30.36185966,0.047048546,0.645739623,0.006442689,29.89152544,0.656749687,122.3449791,1.642281367,73.14012556,2.565116168,58.96417609,0.440666822,0,0,130.6360197,4.336374221,1.79E+02,1.360546924,43.74623102,0.241770236,0.142673435,0.00047358
4900,68790,2037.92678,78.79116915,0.070554382,7.050599168,0.003395239,157.2363572,1.036873445,77.13391646,0.475521323,23.40952949,0.194179091,31.26797967,0.04832798,0.68740848,0.006845979,30.47637725,0.668039601,123.3540916,1.650520506,73.89784076,2.582249641,59.90421736,0.445316975,0,0,131.6124488,4.356886298,1.83E+02,1.384991361,44.55311874,0.24501122,0.152604971,0.00047565
5000,67704,2060.849118,80.15210948,0.071229585,7.283637296,0.003477084,157.980442,1.041853478,77.94743656,0.480287375,23.70779674,0.196650138,32.2668653,0.049448235,0.692089057,0.006877056,31.0799522,0.68038101,124.5462811,1.659982626,74.86454609,2.602247252,60.71373506,0.450075086,0,0,132.5290926,4.377362936,1.87E+02,1.410246687,45.50511858,0.249004974,0.170627962,0.000480924
5100,66591,2083.613298,81.6961694,0.071935975,7.525468912,0.003551839,158.6331011,1.046271213,78.62948032,0.484994333,23.94271008,0.198528318,33.25576988,0.050673076,0.719750946,0.007174606,31.70153503,0.692795478,125.4628531,1.667314798,75.60210747,2.618601732,61.34006603,0.45380397,0,0,133.6555908,4.39990471,1.90E+02,1.432256584,46.28882542,0.252125807,0.184061289,0.000486427
5200,65576,2106.040469,83.2146918,0.072602858,7.812272105,0.003643049,159.2903044,1.050464557,79.36959881,0.489913029,24.30480021,0.201394503,34.30672332,0.05202292,0.761943215,0.007561691,32.24967397,0.703743089,126.549626,1.674498485,76.33939245,2.636112277,62.10069877,0.457879044,0,0,134.4882792,4.418656557,1.94E+02,1.455289098,47.1551218,0.255761104,0.194349191,0.00049184
5300,64576,2128.146692,84.71334639,0.073351895,7.993922403,0.003702872,159.9820414,1.054783245,80.00139425,0.493755877,24.64766569,0.204064261,35.06841789,0.053003451,0.77576858,0.007633304,32.77438436,0.71357349,127.4092992,1.681810254,77.0989655,2.653125183,62.9483324,0.462078184,0,0,135.4319766,4.43778193,1.97E+02,1.477582626,47.98793236,0.259079249,0.199801003,0.000501662
5400,63617,2149.967457,86.22383913,0.074024127,8.310536264,0.003797501,160.5554287,1.058579338,80.67345276,0.497721129,25.0068668,0.206864706,35.93696258,0.053993026,0.792287953,0.007790613,33.37304703,0.725167486,128.3379622,1.6895546,77.8833878,2.671028247,63.68209869,0.46591297,0,0,136.5401927,4.461288465,2.01E+02,1.501374462,48.73227567,0.262462007,0.223172487,0.000509276
5500,62659,2171.484946,87.71932241,0.074697464,8.59147061,0.003880516,161.1135567,1.062588039,81.30794325,0.50178658,25.28365312,0.208955401,36.68817849,0.054890916,0.800569743,0.007881658,33.82332817,0.733827572,129.2516934,1.696288548,78.62077638,2.688369632,64.50697715,0.47020534,0,0,137.3758997,4.478446642,2.04E+02,1.522108583,49.44453502,0.265462878,0.238012262,0.000516462
5600,61747,2192.778354,89.26972719,0.075400513,8.876059598,0.003969721,161.7088326,1.066547785,81.9056216,0.506101755,25.63105524,0.211546174,37.60003086,0.055913516,0.820197693,0.008007021,34.33563418,0.745125898,130.123416,1.702757368,79.27507862,2.704402835,65.2595466,0.474064541,0,0,138.2486789,4.49821786,2.08E+02,1.54616463,50.01976784,0.268145979,0.244607413,0.00051995
5700,60849,2213.901556,90.93153015,0.076097683,9.148219555,0.004063199,162.3305334,1.070542054,82.46515931,0.510201039,25.92502524,0.213774693,38.57394345,0.057119488,0.835250443,0.008169419,34.76408471,0.753084268,131.1564394,1.71039276,79.93392869,2.720037158,65.99340879,0.477947523,0,0,138.9714283,4.513881458,2.11E+02,1.567250173,50.56901168,0.270502667,0.257289395,0.000525354
5800,60001,2235.096936,92.96823651,0.076928152,9.436040768,0.004137701,162.962325,1.07485478,83.10877456,0.513746786,26.28638235,0.216481159,39.42463569,0.058253789,0.833713015,0.008155231,35.26913857,0.761036155,131.9876336,1.716920412,80.57811317,2.734849967,66.7538187,0.482147188,0,0,139.6041546,4.529308873,2.14E+02,1.592077118,51.61031317,0.274639292,0.259072837,0.000545198
5900,59084,2255.293702,94.21129263,0.07746943,9.775999391,0.004224195,163.5388625,1.078576424,83.6878451,0.517332187,26.66337777,0.21919813,40.4622567,0.059642767,0.868763996,0.008443261,35.81195156,0.770917689,133.0362934,1.723806844,81.20291111,2.751065527,67.5308993,0.486328788,0,0,140.4277898,4.547398443,2.18E+02,1.613267837,52.12112939,0.276861095,0.25868625,0.000556911
6000,58233,2275.30271,95.53467293,0.078087087,9.952672282,0.004274394,164.0376369,1.0821579,84.15167568,0.521071647,26.94188033,0.221446393,41.37229612,0.0607681,0.900247671,0.008724532,36.33488888,0.781235262,133.8667583,1.729679066,81.81094485,2.765098349,68.17422427,0.489890592,0,0,141.1301735,4.561741331,2.21E+02,1.63507881,52.78229217,0.279526213,0.261375479,0.000573684
6100,57436,2295.136269,96.93934424,0.078680085,10.17195296,0.004338808,164.5426211,1.085372547,84.68430046,0.524952804,27.20980174,0.223250127,42.08522646,0.061676365,0.947308319,0.009115038,36.90856869,0.792422009,134.6429611,1.735513485,82.42054576,2.778400269,68.97528231,0.493707153,0,0,141.8285765,4.577129585,2.25E+02,1.657387181,53.60067608,0.282406497,0.266457041,0.000594579
6200,56640,2314.777642,98.40137576,0.079242748,10.47721794,0.004417421,165.1180811,1.08908428,85.24747011,0.528523774,27.40983905,0.224837664,43.07971712,0.062820829,0.994381954,0.009473814,37.44391486,0.802790241,135.5415905,1.741328,82.95831737,2.789816372,69.53318686,0.49654643,0,0,142.5226729,4.591155177,2.28E+02,1.680443087,54.37141901,0.285328096,0.284187524,0.000627723
6300,55886,2334.165743,99.83225074,0.079720216,10.67137161,0.004477295,165.6048522,1.09303189,85.82706025,0.532316482,27.69832232,0.22696168,43.96866151,0.063900641,1.004524351,0.009548788,37.9422461,0.812290177,136.2886789,1.747088102,83.53351846,2.802951981,70.20396293,0.499912913,0,0,143.1693454,4.605533509,2.31E+02,1.699731854,54.9244018,0.287479247,0.283392225,0.000625686
6400,55145,2353.151443,101.0713116,0.080198708,11.06516949,0.004575474,166.0115473,1.095668294,86.42963452,0.535488202,27.99751623,0.229125346,44.62113101,0.064769822,1.027641376,0.009781686,38.34632222,0.819129634,137.0970274,1.753336994,84.16464448,2.816453352,70.87130736,0.503266717,0,0,143.9539836,4.620941244,2.34E+02,1.720220384,55.506349,0.289728461,0.286222234,0.000724367
