Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
30000,56349,3997.854403,285.5930428,0.183325578,361.8655324,0.035791413,247.2458156,1.643405465,191.8673947,1.197264088,95.57554409,0.704930418,174.6964559,0.245480957,2.926306188,0.024113819,178.8471364,3.457506874,226.2908143,2.58008799,180.2979544,4.608889458,196.4629125,1.24256457,0.200105901,5.61605E-05
35000,43514,4123.108348,295.4407147,0.186444322,427.6298695,0.039409195,248.7147208,1.652255582,194.9778155,1.21200847,97.04258611,0.714552204,180.4679981,0.252787361,3.056582229,0.02511888,184.2036367,3.524917589,227.9432321,2.597531517,184.211072,4.679418493,203.2120864,1.272768551,0.292259195,7.43596E-05
40000,34825,4224.961407,303.2503206,0.188945908,486.7538901,0.042348492,249.826421,1.658863358,197.1909348,1.222667948,98.13017168,0.721181826,185.0578547,0.258641199,3.226180345,0.026173806,188.2277896,3.574177048,229.0343477,2.609683779,187.2135708,4.732952673,208.6760799,1.296262897,0.484820573,0.000109721
45000,28680,4309.373844,308.8711888,0.190665077,538.5973529,0.044670011,250.7577979,1.664036738,199.0081898,1.230931777,98.85052852,0.725816387,188.545849,0.263205937,3.308130316,0.026630454,191.8674565,3.614522748,229.8948619,2.619215397,189.649793,4.777474171,213.4638143,1.315260273,0.696787572,0.000159594
50000,24174,4380.598847,313.081782,0.191914546,586.8861549,0.046652746,251.4714881,1.667931961,200.7623211,1.237962153,99.34272321,0.728833153,191.5659406,0.267073175,3.376683409,0.027172048,194.4066746,3.642042787,230.605534,2.626583299,191.5575293,4.811708285,217.5341149,1.330889851,1.070493183,0.000217883
100000,20563,4749.681518,332.9199428,0.197992738,875.7609785,0.056431657,254.8529979,1.684746293,210.2632009,1.270055458,102.0382859,0.743936778,208.6950121,0.289067686,3.732652247,0.029672432,204.8688815,3.744994128,233.3994513,2.657028494,201.4537378,4.990142573,248.8073316,1.419534596,3.514743756,0.000570605
200000,6566,4972.810823,341.7461328,0.200598551,1069.924273,0.06122377,257.0143559,1.691476661,217.287377,1.28485907,102.7380694,0.74793266,221.0839163,0.304346413,3.912816224,0.030818313,207.9867979,3.767136689,234.5422666,2.67063988,207.7159821,5.105515149,273.7686414,1.469125433,5.382383307,0.000770794
300000,1848,5051.610944,344.5717027,0.201494493,1144.459449,0.06275067,257.9228758,1.693122565,219.5779581,1.289015267,102.8236363,0.748430522,225.1935058,0.309263755,3.989048459,0.031286655,208.7247558,3.770406081,234.841276,2.674891812,210.2067226,5.150266918,281.1911951,1.482042127,6.460598095,0.000879331
400000,803,5088.306712,345.6998961,0.20178035,1194.429786,0.063591828,258.098719,1.693812164,221.0220479,1.29069106,102.8499094,0.748570631,227.2258439,0.311648179,4.005652133,0.031398855,208.916445,3.771630058,234.9842304,2.676872095,211.6295248,5.172020323,284.4917171,1.487349214,6.947695716,0.000937998
500000,384,5108.065748,346.0593494,0.201889872,1218.619206,0.063940855,258.1686692,1.694030332,221.2099077,1.291441843,102.8529822,0.748582725,228.070808,0.312593461,4.06994489,0.031465067,208.9703213,3.771801829,235.0497209,2.677772537,212.2089586,5.180877695,285.8512919,1.489368293,7.467214978,0.00098972
1000000,227,5137.007762,346.7848875,0.202076403,1267.323762,0.064470757,258.2473988,1.694285357,221.4617779,1.292359255,102.8729553,0.748731001,229.011213,0.313572729,4.127972255,0.031705491,209.5764883,3.772514103,235.1365798,2.67920537,213.2953257,5.195183777,287.2773583,1.491881862,8.052905051,0.001043033
2000000,31,5143.413954,346.8426947,0.202086834,1284.831467,0.064569847,258.2509565,1.694292943,221.4759221,1.292427671,102.8724524,0.74872407,229.0925858,0.313638948,4.127726298,0.031703513,209.5740215,3.772468748,235.1455073,2.67931573,213.3827114,5.196324908,287.3020052,1.492011421,8.127102027,0.001054303
Unlimited,2,5144.064036,346.850463,0.202088753,1287.535602,0.06458068,258.2506199,1.694290737,221.4762993,1.292429558,102.8723359,0.748723211,229.0940329,0.313640454,4.127723548,0.031703498,209.573726,3.772463383,235.1493944,2.67935374,213.4216041,5.196883013,287.3093426,1.492026388,8.12708235,0.001054301
