Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
5800,"40,686",1697.421064,101.4085227,0.08686522,11.16436875,0.004978578,156.9422741,1.177920839,88.42305522,0.628370371,31.3139447,0.288314061,50.90008259,0.081407474,1.020565286,0.011290583,40.08815649,0.963052186,132.0758719,1.890377487,85.89457294,3.184480204,72.62500087,0.567496886,0.007940297,1.68E-06
5900,"40,099",1711.849048,103.0180427,0.087564044,11.40894028,0.00504498,157.2258281,1.179981276,88.84375359,0.630861453,31.56202774,0.290278083,51.78419967,0.082545804,1.029206677,0.011394002,40.67972671,0.976619642,132.7375515,1.8948256,86.38964422,3.194606482,73.16799073,0.57108365,0.007932174,1.68E-06
6000,"39,572",1726.187318,104.7075842,0.088277173,11.75886119,0.005131206,157.532725,1.182175388,89.33960329,0.633958048,31.77204753,0.291914928,52.69712612,0.083749757,1.043078399,0.011519647,41.26026758,0.989890036,133.247631,1.899130713,86.97708758,3.207233631,73.85667234,0.575039721,0.007923619,1.67E-06
6100,"39,018",1740.287275,106.3252422,0.088962128,12.06846817,0.005204211,157.8094593,1.184059295,89.85305428,0.637283142,32.10578914,0.294448284,53.72323412,0.084987654,1.072049958,0.011882886,41.64285668,0.997486154,133.7475801,1.903586879,87.49015004,3.218810661,74.50359215,0.578498215,0.007918,1.67E-06
6200,"38,492",1754.117591,107.8345514,0.089511331,12.47733662,0.005306076,158.1101881,1.186098984,90.30652929,0.640499699,32.28839471,0.295699569,54.60126439,0.086215599,1.093127817,0.012099052,42.15637583,1.008047656,134.2923471,1.907409455,88.08711038,3.23026849,75.06499739,0.581939828,0.00791239,1.67E-06
6300,"37,981",1767.742356,109.2919613,0.090082259,12.92550292,0.005420794,158.380265,1.188095993,90.75947405,0.643975756,32.46872005,0.298189715,55.61801926,0.08745571,1.115106058,0.012135275,42.8740964,1.021932352,134.8769531,1.911960509,88.70751184,3.241538619,75.70193141,0.585439991,0.007907235,1.67E-06
6400,"37,445",1781.365189,110.9159918,0.09072312,13.35513659,0.005530639,158.66093,1.190272622,91.14218639,0.646724821,32.74507389,0.300244116,56.50577189,0.088548246,1.154625713,0.012535123,43.327535,1.029952923,135.3840596,1.915773909,89.12554579,3.25086105,76.26662795,0.588612962,0.007901416,1.67E-06
6500,"36,979",1794.675786,112.3674564,0.091295678,13.59269368,0.005588272,158.942419,1.192215835,91.6158643,0.64993276,32.89018058,0.301271404,57.27024538,0.089600267,1.175848028,0.012802648,44.07458572,1.043847442,135.8461982,1.91926743,89.65916691,3.261109384,76.82707555,0.59179418,0.007896498,1.67E-06
7500,"36,509",1919.891416,126.5546755,0.096253315,18.1478671,0.006460424,161.24077,1.209540684,95.27740404,0.674835827,35.19350237,0.319237561,65.43071452,0.100136171,1.349393922,0.014560922,48.8394517,1.137295816,140.3155011,1.95253503,94.60705779,3.358500092,82.53597511,0.622957187,0.007843031,1.66E-06
10000,"32,360",2177.806374,153.7683127,0.105731419,41.2510821,0.010022358,165.5538645,1.242079837,102.4935985,0.720071237,38.91046082,0.347368672,82.10433626,0.121707952,1.716380568,0.018390098,59.11446408,1.324237056,148.142588,2.01571574,104.0980003,3.551682587,93.99471466,0.686296058,0.009579017,5.07E-06
15000,"24,761",2536.572823,189.3353904,0.117008482,122.3274363,0.019689939,170.3495006,1.278636344,110.7871762,0.773588848,43.3993084,0.380424293,103.5763998,0.149444482,2.282672395,0.024083014,73.37111597,1.563697545,156.484454,2.098525724,116.6448453,3.810795407,111.0717244,0.777882326,0.05184949,1.47E-05
20000,"15,554",2772.886151,212.4284073,0.123705044,202.7443057,0.027147787,173.2591387,1.298837032,115.7222127,0.803802202,45.89040671,0.398078942,115.9073954,0.165612524,2.925179865,0.029490227,83.963363,1.722143862,160.7961721,2.14958372,124.9463259,3.979747014,123.2077545,0.841665161,0.075944871,1.83E-05
25000,"10,519",2940.877831,229.6258397,0.128568065,267.0263128,0.032309516,175.0950042,1.31213876,119.1373733,0.823453922,48.16116155,0.41430322,125.3211175,0.177543282,3.372126973,0.03290545,90.93232746,1.807626354,163.7817465,2.17893872,130.7766243,4.09173636,132.0459233,0.884137465,0.074900859,1.80397E-05
30000,"7,642",3066.326705,240.6727619,0.131747771,315.8726899,0.035646362,176.3714935,1.321742163,121.4955449,0.836505019,49.68261731,0.424157617,131.6437996,0.185451035,3.540531701,0.034375666,95.29496721,1.859006249,165.609494,2.198174932,135.421523,4.169767413,138.714439,0.915616448,0.079567468,2.16724E-05
35000,"5,937",3164.600618,247.6859147,0.133888698,362.8858938,0.038405983,177.1748961,1.327215879,123.6615665,0.846265904,50.64950439,0.430412215,137.3046244,0.191984854,3.668138486,0.035345902,98.57248232,1.893132338,166.8330704,2.210983943,138.8556667,4.228132485,143.694973,0.93804555,0.137193377,3.49007E-05
40000,"4,767",3244.619307,253.6911455,0.13554769,411.9236323,0.040889979,177.8928303,1.331356808,125.540595,0.854204901,51.18779092,0.433851769,141.2423001,0.19703302,3.899429425,0.037146909,101.4449497,1.922272853,167.7415093,2.220250393,141.478179,4.271886858,147.8754192,0.9575441,0.175843637,4.16886E-05
45000,"3,888",3308.948647,256.468142,0.136465269,440.1465499,0.04229731,178.4666734,1.334277312,126.7750161,0.859392812,51.57952198,0.436562329,143.7905535,0.200631809,3.901947611,0.037166922,103.0109018,1.939527507,168.3858043,2.225536007,143.1523126,4.30131868,150.7623116,0.969969211,0.293798815,6.03088E-05
50000,"3,422",3366.757784,259.781581,0.137448404,478.5899406,0.043926362,178.988239,1.337096006,127.9297547,0.86435924,51.91797818,0.43872124,146.5229628,0.20409098,3.943212532,0.037432699,104.3687407,1.952610498,168.8714598,2.230613708,144.696748,4.327865762,154.1388228,0.983463072,0.393048954,8.19695E-05
100000,"2,924",3674.678591,275.9134157,0.141898277,704.1637462,0.051611338,181.601549,1.34952134,135.6016501,0.887371075,53.61632115,0.448463066,161.0003193,0.223043869,4.450051657,0.040861172,110.9583017,2.0065955,171.0091734,2.254033888,152.7602896,4.475579015,176.9530269,1.054236731,0.994077173,0.000186658
200000,"1,000",3862.906838,282.9862903,0.143827414,885.4979974,0.05585999,183.1517888,1.354513606,144.5131019,0.899765547,54.10583995,0.451043884,172.0826698,0.23655027,4.632814176,0.042103028,113.4456527,2.022760569,172.2972686,2.266911194,158.5258583,4.579249781,195.9211029,1.098985115,1.922373391,0.000297199
300000,278,3924.693393,284.6650537,0.144256758,949.9567735,0.057079037,183.4357778,1.355775854,146.6648063,0.902962767,54.1481462,0.451271654,175.3630688,0.240335896,4.808125678,0.042966101,114.0746476,2.026170397,172.5752194,2.270537201,160.3702527,4.612364736,202.395843,1.110752419,2.482076556,0.00035706
400000,129,3954.42198,285.3779993,0.144395945,990.040391,0.057697101,183.5741997,1.356176613,147.5383938,0.904189084,54.15697139,0.451308356,176.4914152,0.241613952,4.838985908,0.04339585,114.2172044,2.027013821,172.6721816,2.271999142,161.1967436,4.62724857,203.771506,1.114041249,2.628496803,0.0003706
