Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization,
20000,"24,382",3042.394702,238.487395,0.132586739,186.5215357,0.023235351,226.6972937,1.508667442,134.1365084,0.828263438,50.65403948,0.385558274,125.211645,0.167172095,1.994594286,0.018817145,88.26403481,1.666584215,179.1297742,2.120607703,142.8611256,3.961786358,143.0239043,0.876622483,61.73755038,0.062707408,1.46159E-05
25000,"16,965",3234.272666,257.6702055,0.137619508,255.1588486,0.028330531,229.0483348,1.523277889,138.2375794,0.847954481,52.46759979,0.396517597,134.5128167,0.178411749,2.201035849,0.021256935,94.53761403,1.748293449,182.0913355,2.151266517,149.5747367,4.076812009,153.1345362,0.919958279,65.44842352,0.101616603,2.79319E-05
30000,"12,688",3381.380018,271.5645638,0.141206393,313.6276821,0.032114824,230.5612693,1.532668594,141.0015583,0.861584663,53.72725355,0.404248589,141.2642959,0.186409033,2.482296424,0.023206131,98.63589443,1.795296481,184.0477858,2.17074793,154.1124056,4.154262985,160.5779004,0.95024992,68.11530977,0.100544916,2.76687E-05
35000,"10,024",3498.267789,281.059577,0.143676846,364.3539376,0.034948952,231.7945688,1.539801712,143.1416575,0.870733152,54.40115455,0.408628001,146.447874,0.1923654,2.553713346,0.023732629,102.3329723,1.831868017,185.4555186,2.183207831,157.8290915,4.210496647,166.2832543,0.973470925,70.17962908,0.126004932,3.34367E-05
40000,"8,239",3595.038441,288.5081321,0.145429772,411.6555855,0.037362449,232.770377,1.545417503,145.0651265,0.878416618,55.05619135,0.412858637,150.8028806,0.19729148,2.60228623,0.024052967,105.3583023,1.861304955,186.4739682,2.192770837,160.6336747,4.253930842,171.0445139,0.992743398,72.00999946,0.19456206,4.91471E-05
45000,"6,950",3678.005662,295.7823745,0.147058277,454.8567924,0.039336554,233.4410971,1.548799641,146.4297445,0.884413612,55.73689339,0.416757299,154.3376359,0.201418789,2.650239573,0.024352034,107.9283429,1.884479839,187.3719527,2.19988504,162.6854874,4.287689848,175.0124915,1.008083724,73.46192329,0.247093402,5.45117E-05
50000,"5,942",3747.956826,300.8946047,0.148366381,496.2929487,0.041063443,234.0249208,1.551481804,148.3712841,0.890147665,56.42177136,0.420392328,157.4165151,0.205001986,2.74967809,0.025048888,110.0809803,1.903353771,188.1479434,2.206048224,164.7931564,4.319755659,178.3811217,1.021118736,74.88168811,0.332115183,6.90717E-05
100000,"5,118",4119.205259,321.5312947,0.153386549,759.601565,0.049656246,237.0828184,1.56374734,157.1903071,0.915411521,58.74205739,0.432355695,174.7247531,0.224905934,3.305837512,0.028507549,118.5705949,1.969679037,190.9455264,2.232790283,174.5358573,4.476524504,204.3353261,1.096112419,85.89449136,1.133012362,0.000185304
200000,"1,793",4355.550499,330.8197172,0.155589481,978.8643701,0.054435783,238.8015936,1.568950741,167.1671639,0.929637397,59.34858184,0.435394953,188.0587524,0.23939966,3.574709692,0.030012379,122.1121344,1.989582798,192.6519128,2.247293757,181.5316804,4.587646662,225.9494978,1.145255997,94.11994833,2.064897728,0.000292948
300000,517,4436.949055,333.3594274,0.156152228,1063.075255,0.055886136,239.3325263,1.570391028,170.6176354,0.933555346,59.48674099,0.435980677,192.9824134,0.244448058,3.783961434,0.030954308,122.9940417,1.994373736,193.0134506,2.251707057,184.0240546,4.628145032,236.2556579,1.160921758,97.91253377,2.716613263,0.000364401
400000,231,4476.420287,334.1952874,0.156321689,1109.71446,0.056559389,239.4400293,1.570824245,171.8009,0.934915468,59.50874236,0.436055898,194.4181598,0.245918707,3.806728307,0.031097476,123.2549697,1.995744331,193.1664049,2.253437702,185.0721821,4.643902466,238.0274428,1.164987004,98.42017423,3.03795861,0.000384102
